"date","month","day","quarter","week","am6","am7","am8","am9","am10","am11","pm12","pm1","pm2","pm3","pm4","pm5","pm6","pm7","pm8","pm9","pm10","pm11","total","weekend","covid","closed","day_after_closed","finals_week","dead_week"
2015-01-05,"January","Monday","Winter",1,223,190,343,427,417,549,509,613,525,597,545,647,596,481,430,244,97,23,7457,0,0,0,0,0,0
2015-01-06,"January","Tuesday","Winter",1,128,125,261,443,404,509,533,585,447,576,581,638,630,570,411,235,78,11,7165,0,0,0,0,0,0
2015-01-07,"January","Wednesday","Winter",1,209,161,299,309,387,498,450,541,407,488,510,651,618,485,369,186,111,21,6700,0,0,0,0,0,0
2015-01-08,"January","Thursday","Winter",1,196,110,211,312,345,488,348,463,322,444,541,520,407,394,233,217,105,26,5682,0,0,0,0,0,0
2015-01-09,"January","Friday","Winter",1,104,73,102,187,259,403,410,378,363,464,578,578,329,255,175,118,66,14,4859,0,0,0,0,0,0
2015-01-10,"January","Saturday","Winter",1,0,0,0,16,218,210,256,225,275,347,336,395,248,145,134,108,64,14,2991,1,0,0,0,0,0
2015-01-11,"January","Sunday","Winter",1,0,0,0,4,156,183,188,222,239,264,298,424,386,278,229,165,71,12,3119,1,0,0,0,0,0
2015-01-12,"January","Monday","Winter",2,245,156,298,349,322,477,467,494,240,23,22,16,2,4,6,120,99,14,3354,0,0,0,0,0,0
2015-01-13,"January","Tuesday","Winter",2,115,71,166,225,285,396,331,319,300,368,450,545,585,563,475,274,135,23,5626,0,0,0,0,0,0
2015-01-14,"January","Wednesday","Winter",2,223,174,267,363,290,379,377,424,410,426,465,550,547,470,468,230,142,33,6239,0,0,0,0,0,0
2015-01-15,"January","Thursday","Winter",2,200,92,208,284,278,395,319,375,274,378,482,607,514,462,389,239,155,20,5686,0,0,0,0,0,0
2015-01-16,"January","Friday","Winter",2,128,92,115,184,234,342,316,235,344,395,428,360,337,187,129,114,59,13,4012,0,0,0,0,0,0
2015-01-17,"January","Saturday","Winter",2,0,0,0,0,215,185,204,265,245,322,266,276,254,159,128,106,70,12,2707,1,0,0,0,0,0
2015-01-18,"January","Sunday","Winter",2,0,0,0,1,192,225,133,158,142,237,275,253,237,233,154,112,54,9,2415,1,0,0,0,0,0
2015-01-19,"January","Monday","Winter",3,0,0,0,8,302,200,244,206,269,305,314,410,418,166,0,0,0,0,2842,0,0,0,0,0,0
2015-01-20,"January","Tuesday","Winter",3,174,152,192,299,302,460,291,339,310,398,544,565,581,518,507,283,177,23,6115,0,0,0,0,0,0
2015-01-21,"January","Wednesday","Winter",3,195,152,229,313,281,357,393,386,313,380,463,508,526,440,492,312,195,28,5967,0,0,0,0,0,0
2015-01-22,"January","Thursday","Winter",3,205,137,179,298,279,423,300,326,289,404,462,677,622,485,403,289,159,23,5960,0,0,0,0,0,0
2015-01-23,"January","Friday","Winter",3,95,70,127,208,252,364,381,289,366,412,532,509,346,243,160,118,101,24,4597,0,0,0,0,0,0
2015-01-24,"January","Saturday","Winter",3,0,0,0,3,263,191,217,265,256,300,302,309,207,153,134,90,92,17,2799,1,0,0,0,0,0
2015-01-25,"January","Sunday","Winter",3,0,0,0,1,171,176,168,167,167,199,231,259,243,244,206,144,88,11,2475,1,0,0,0,0,0
2015-01-26,"January","Monday","Winter",4,205,147,254,314,275,414,394,419,382,344,427,521,500,455,390,249,144,25,5859,0,0,0,0,0,0
2015-01-27,"January","Tuesday","Winter",4,148,144,213,305,290,390,300,312,276,373,400,555,513,428,361,266,197,24,5495,0,0,0,0,0,0
2015-01-28,"January","Wednesday","Winter",4,188,137,262,315,288,345,351,393,333,361,417,508,493,425,433,252,161,29,5691,0,0,0,0,0,0
2015-01-29,"January","Thursday","Winter",4,203,115,154,264,243,359,290,327,248,390,394,613,511,459,401,229,176,25,5406,0,0,0,0,0,0
2015-01-30,"January","Friday","Winter",4,96,74,102,212,243,297,319,236,287,365,420,391,273,220,141,129,82,18,3906,0,0,0,0,0,0
2015-01-31,"January","Saturday","Winter",4,0,0,0,2,242,170,181,189,214,279,266,317,277,201,131,93,66,12,2640,1,0,0,0,0,0
2015-02-01,"February","Sunday","Winter",4,0,0,0,0,153,182,211,187,112,106,116,108,117,235,185,130,72,15,1929,1,0,0,0,0,0
2015-02-02,"February","Monday","Winter",5,250,154,244,274,270,378,340,357,321,378,404,495,535,510,444,318,180,17,5869,0,0,0,0,0,0
2015-02-03,"February","Tuesday","Winter",5,178,124,173,299,295,180,312,340,300,396,460,604,525,510,443,297,184,28,5654,0,0,0,0,0,0
2015-02-04,"February","Wednesday","Winter",5,170,133,234,311,280,295,359,386,338,393,381,475,529,340,441,327,191,29,5614,0,0,0,0,0,0
2015-02-05,"February","Thursday","Winter",5,213,90,172,250,237,365,286,316,276,364,451,548,510,482,354,212,146,31,5303,0,0,0,0,0,0
2015-02-06,"February","Friday","Winter",5,98,81,106,167,222,327,274,217,285,361,474,417,327,237,152,133,98,13,3989,0,0,0,0,0,0
2015-02-07,"February","Saturday","Winter",5,0,0,0,0,238,211,182,218,271,273,320,303,261,169,133,117,63,11,2770,1,0,0,0,0,0
2015-02-08,"February","Sunday","Winter",5,0,0,0,2,191,173,139,172,202,192,199,285,263,240,119,112,76,20,2385,1,0,0,0,0,0
2015-02-09,"February","Monday","Winter",6,226,187,229,260,257,329,352,358,327,392,429,499,495,475,392,234,147,13,5601,0,0,0,0,0,0
2015-02-10,"February","Tuesday","Winter",6,157,138,190,297,264,411,299,304,304,413,433,590,524,442,501,312,165,27,5771,0,0,0,0,0,0
2015-02-11,"February","Wednesday","Winter",6,224,172,231,299,256,351,355,382,338,334,417,466,578,486,439,252,155,38,5774,0,0,0,0,0,0
2015-02-12,"February","Thursday","Winter",6,211,142,177,240,266,352,302,285,290,360,401,512,535,420,334,249,146,19,5241,0,0,0,0,0,0
2015-02-13,"February","Friday","Winter",6,93,105,121,167,199,328,267,212,282,314,349,377,332,216,136,108,54,12,3672,0,0,0,0,0,0
2015-02-14,"February","Saturday","Winter",6,0,0,0,0,212,187,146,159,209,210,204,149,115,103,102,73,46,9,1924,1,0,0,0,0,0
2015-02-15,"February","Sunday","Winter",6,0,0,0,0,126,125,111,125,126,237,182,239,206,209,159,96,96,11,2048,1,0,0,0,0,0
2015-02-16,"February","Monday","Winter",7,211,109,212,308,305,337,376,382,348,379,390,474,518,442,442,303,171,18,5725,0,0,0,0,0,0
2015-02-17,"February","Tuesday","Winter",7,141,135,172,299,275,409,303,339,289,369,418,528,562,433,333,210,135,34,5384,0,0,0,0,0,0
2015-02-18,"February","Wednesday","Winter",7,114,115,234,300,258,321,315,349,307,346,591,869,548,520,339,209,161,18,5914,0,0,0,0,0,0
2015-02-19,"February","Thursday","Winter",7,192,107,153,249,248,296,294,315,280,334,428,464,370,363,412,203,124,31,4863,0,0,0,0,0,0
2015-02-20,"February","Friday","Winter",7,80,89,72,150,196,301,264,261,268,315,379,323,255,211,129,110,70,9,3482,0,0,0,0,0,0
2015-02-21,"February","Saturday","Winter",7,0,5,1,0,253,167,156,179,174,178,195,205,178,149,127,80,59,14,2120,1,0,0,0,0,0
2015-02-22,"February","Sunday","Winter",7,0,1,0,0,194,155,152,144,207,197,202,208,200,192,204,114,68,9,2247,1,0,0,0,0,0
2015-02-23,"February","Monday","Winter",8,118,113,212,268,274,338,368,393,300,384,431,481,525,513,362,288,161,28,5557,0,0,0,0,0,0
2015-02-24,"February","Tuesday","Winter",8,127,129,182,261,284,365,293,337,272,399,476,513,508,427,380,318,170,26,5467,0,0,0,0,0,0
2015-02-25,"February","Wednesday","Winter",8,113,107,220,272,264,296,343,357,325,358,377,435,465,311,358,208,148,36,4993,0,0,0,0,0,0
2015-02-26,"February","Thursday","Winter",8,197,133,163,229,258,348,312,284,249,320,391,476,476,387,332,170,151,20,4896,0,0,0,0,0,0
2015-02-27,"February","Friday","Winter",8,79,69,95,173,229,276,244,227,294,304,360,404,265,187,125,84,91,10,3516,0,0,0,0,0,0
2015-02-28,"February","Saturday","Winter",8,0,0,0,0,236,246,230,193,182,221,222,204,213,160,109,92,72,19,2399,1,0,0,0,0,0
2015-03-01,"March","Sunday","Winter",8,0,0,0,0,154,150,118,149,179,210,239,251,246,181,200,131,79,23,2310,1,0,0,0,0,0
2015-03-02,"March","Monday","Winter",9,198,135,200,295,294,378,355,400,303,416,380,450,453,376,399,282,143,33,5490,0,0,0,0,0,0
2015-03-03,"March","Tuesday","Winter",9,126,122,170,269,282,376,307,290,284,389,415,476,395,349,303,230,151,29,4963,0,0,0,0,0,0
2015-03-04,"March","Wednesday","Winter",9,195,150,198,292,254,346,311,330,316,304,398,449,450,330,330,189,143,28,5013,0,0,0,0,0,0
2015-03-05,"March","Thursday","Winter",9,176,106,171,214,265,343,289,280,291,328,343,456,385,397,358,200,168,22,4792,0,0,0,0,0,0
2015-03-06,"March","Friday","Winter",9,71,85,98,178,234,315,284,245,284,260,314,311,225,151,141,100,79,24,3399,0,0,0,0,0,0
2015-03-07,"March","Saturday","Winter",9,0,0,0,0,300,165,189,166,151,193,218,220,181,131,146,93,74,19,2246,1,0,0,0,0,0
2015-03-08,"March","Sunday","Winter",9,0,0,0,0,119,101,99,137,142,199,203,247,230,238,225,158,105,19,2222,1,0,0,0,0,0
2015-03-09,"March","Monday","Winter",10,177,107,179,251,269,336,309,421,334,371,375,471,464,425,381,286,170,27,5353,0,0,0,0,0,1
2015-03-10,"March","Tuesday","Winter",10,130,120,155,266,298,359,269,326,293,390,365,454,463,349,376,237,178,27,5055,0,0,0,0,0,1
2015-03-11,"March","Wednesday","Winter",10,198,112,216,258,255,313,351,340,310,365,406,391,467,349,318,196,142,32,5019,0,0,0,0,0,1
2015-03-12,"March","Thursday","Winter",10,81,73,169,258,247,295,271,263,273,330,357,455,353,361,367,223,152,16,4544,0,0,0,0,0,1
2015-03-13,"March","Friday","Winter",10,64,61,82,159,196,275,264,234,237,312,373,326,265,205,191,160,104,24,3532,0,0,0,0,0,1
2015-03-14,"March","Saturday","Winter",10,0,0,0,0,235,168,154,175,194,214,232,286,214,188,119,132,116,27,2454,1,0,0,0,0,1
2015-03-15,"March","Sunday","Winter",10,0,0,0,0,193,191,179,178,218,177,287,275,212,193,188,175,106,15,2587,1,0,0,0,0,1
2015-03-16,"March","Monday","Winter",11,97,58,54,98,165,228,176,157,180,227,300,318,310,309,260,209,168,34,3348,0,0,0,0,1,0
2015-03-17,"March","Tuesday","Winter",11,83,50,81,131,154,182,214,176,173,223,246,313,257,250,199,175,105,15,3027,0,0,0,0,1,0
2015-03-18,"March","Wednesday","Winter",11,58,61,48,68,111,216,175,147,165,186,242,248,176,206,178,100,110,12,2507,0,0,0,0,1,0
2015-03-19,"March","Thursday","Winter",11,0,0,0,0,161,148,115,98,121,137,183,195,170,105,0,0,0,0,1433,0,0,0,0,1,0
2015-03-20,"March","Friday","Winter",11,0,0,0,2,126,131,135,118,94,95,110,112,145,42,1,0,0,0,1111,0,0,0,0,1,0
2015-03-21,"March","Saturday","Break",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015-03-22,"March","Sunday","Break",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2015-03-23,"March","Monday","Break",0,0,0,0,1,81,96,105,92,103,104,149,143,127,23,0,0,0,0,1024,0,0,0,1,0,0
2015-03-24,"March","Tuesday","Break",0,0,0,2,1,121,95,87,62,88,81,137,152,136,32,0,0,0,0,994,0,0,0,0,0,0
2015-03-25,"March","Wednesday","Break",0,0,0,0,0,81,101,76,54,75,98,133,125,116,36,0,0,0,0,895,0,0,0,0,0,0
2015-03-26,"March","Thursday","Break",0,0,0,0,0,80,61,85,50,64,88,98,103,97,24,0,0,0,0,750,0,0,0,0,0,0
2015-03-27,"March","Friday","Break",0,0,0,0,0,76,84,87,57,57,103,94,122,101,20,0,0,0,0,801,0,0,0,0,0,0
2015-03-28,"March","Saturday","Break",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2015-03-29,"March","Sunday","Break",0,0,0,0,0,0,0,0,0,0,0,0,0,408,219,175,84,38,6,930,1,0,0,1,0,0
2015-03-30,"March","Monday","Spring",1,113,113,310,499,351,487,431,486,297,410,509,476,458,415,367,250,94,12,6078,0,0,0,0,0,0
2015-03-31,"March","Tuesday","Spring",1,117,98,292,423,331,476,419,534,384,479,501,536,493,477,388,211,115,14,6288,0,0,0,0,0,0
2015-04-01,"April","Wednesday","Spring",1,99,134,296,440,336,452,374,490,345,459,568,492,542,477,331,218,109,10,6172,0,0,0,0,0,0
2015-04-02,"April","Thursday","Spring",1,105,101,257,344,309,438,390,514,334,435,517,487,425,384,269,175,88,14,5586,0,0,0,0,0,0
2015-04-03,"April","Friday","Spring",1,57,70,122,175,180,322,354,266,287,337,376,300,256,158,145,76,57,10,3548,0,0,0,0,0,0
2015-04-04,"April","Saturday","Spring",1,0,0,0,0,222,213,181,159,188,251,208,194,184,149,138,127,43,16,2273,1,0,0,0,0,0
2015-04-05,"April","Sunday","Spring",1,0,0,0,0,130,153,131,132,166,241,231,254,236,204,210,133,74,10,2305,1,0,0,0,0,0
2015-04-06,"April","Monday","Spring",2,139,127,281,411,367,472,388,468,324,394,503,554,474,377,483,342,156,26,6286,0,0,0,0,0,0
2015-04-07,"April","Tuesday","Spring",2,190,125,234,405,308,476,409,513,409,561,463,575,533,445,433,242,153,25,6499,0,0,0,0,0,0
2015-04-08,"April","Wednesday","Spring",2,146,128,255,413,337,437,357,479,360,456,520,558,641,524,462,276,146,29,6524,0,0,0,0,0,0
2015-04-09,"April","Thursday","Spring",2,168,108,254,324,273,439,410,527,448,507,490,511,417,379,251,188,129,14,5837,0,0,0,0,0,0
2015-04-10,"April","Friday","Spring",2,65,63,115,175,198,360,340,250,348,413,383,305,278,245,174,112,77,12,3916,0,0,0,0,0,0
2015-04-11,"April","Saturday","Spring",2,0,0,0,0,192,234,209,201,228,280,317,257,188,140,98,120,90,19,2573,1,0,0,0,0,0
2015-04-12,"April","Sunday","Spring",2,0,0,0,0,134,172,130,162,176,175,214,241,296,215,231,157,98,18,2419,1,0,0,0,0,0
2015-04-13,"April","Monday","Spring",3,105,112,228,394,305,451,403,444,316,421,449,391,423,541,455,302,162,28,5931,0,0,0,0,0,0
2015-04-14,"April","Tuesday","Spring",3,160,101,239,366,325,441,395,549,393,495,469,588,453,434,413,280,176,16,6293,0,0,0,0,0,0
2015-04-15,"April","Wednesday","Spring",3,118,106,275,430,321,410,341,400,318,364,495,437,541,434,402,270,161,31,5854,0,0,0,0,0,0
2015-04-16,"April","Thursday","Spring",3,124,102,209,298,292,390,363,445,323,383,407,490,456,356,254,243,179,26,5340,0,0,0,0,0,0
2015-04-17,"April","Friday","Spring",3,71,77,110,179,238,322,335,222,259,241,313,244,274,194,158,132,94,19,3482,0,0,0,0,0,0
2015-04-18,"April","Saturday","Spring",3,0,0,0,11,203,154,119,149,132,208,218,184,189,171,131,153,69,20,2111,1,0,0,0,0,0
2015-04-19,"April","Sunday","Spring",3,0,0,0,1,166,154,125,143,142,171,213,226,214,199,203,102,107,16,2182,1,0,0,0,0,0
2015-04-20,"April","Monday","Spring",4,130,130,246,417,257,387,342,377,276,319,367,343,382,411,353,223,152,38,5150,0,0,0,0,0,0
2015-04-21,"April","Tuesday","Spring",4,126,66,249,333,288,387,350,483,363,420,448,566,399,368,397,260,149,20,5672,0,0,0,0,0,0
2015-04-22,"April","Wednesday","Spring",4,141,114,260,363,336,391,315,401,304,213,413,408,429,416,425,279,172,18,5398,0,0,0,0,0,0
2015-04-23,"April","Thursday","Spring",4,105,68,226,323,283,383,318,448,316,386,472,443,387,377,291,242,168,19,5255,0,0,0,0,0,0
2015-04-24,"April","Friday","Spring",4,76,75,114,168,208,299,337,267,274,344,339,329,244,262,166,160,63,10,3735,0,0,0,0,0,0
2015-04-25,"April","Saturday","Spring",4,0,9,4,18,160,224,189,196,242,237,305,245,232,161,154,119,110,26,2631,1,0,0,0,0,0
2015-04-26,"April","Sunday","Spring",4,0,0,0,0,144,144,143,138,137,237,202,253,267,281,211,139,84,15,2395,1,0,0,0,0,0
2015-04-27,"April","Monday","Spring",5,125,112,233,381,290,385,351,380,269,384,427,441,466,414,391,309,211,29,5598,0,0,0,0,0,0
2015-04-28,"April","Tuesday","Spring",5,128,105,229,329,262,394,399,447,357,420,399,475,436,383,372,277,174,32,5619,0,0,0,0,0,0
2015-04-29,"April","Wednesday","Spring",5,122,132,241,370,292,409,356,383,277,360,405,433,413,407,405,323,154,30,5512,0,0,0,0,0,0
2015-04-30,"April","Thursday","Spring",5,109,78,214,313,257,387,321,456,312,369,423,401,367,377,302,277,134,13,5110,0,0,0,0,0,0
2015-05-01,"May","Friday","Spring",5,58,74,102,162,223,302,256,252,245,268,276,215,238,178,154,130,112,14,3259,0,0,0,0,0,0
2015-05-02,"May","Saturday","Spring",5,0,7,3,1,114,111,99,115,149,159,169,132,147,118,65,77,82,5,1553,1,0,0,0,0,0
2015-05-03,"May","Sunday","Spring",5,0,0,0,0,148,127,138,163,162,238,174,226,272,228,193,166,111,12,2358,1,0,0,0,0,0
2015-05-04,"May","Monday","Spring",6,119,96,238,357,261,367,338,392,241,386,462,410,392,444,410,315,181,35,5444,0,0,0,0,0,0
2015-05-05,"May","Tuesday","Spring",6,114,115,232,332,276,402,362,471,352,385,439,561,403,331,276,185,159,15,5410,0,0,0,0,0,0
2015-05-06,"May","Wednesday","Spring",6,96,109,212,345,294,303,287,363,245,342,387,439,475,407,374,266,165,36,5145,0,0,0,0,0,0
2015-05-07,"May","Thursday","Spring",6,93,80,187,283,291,389,335,425,319,373,380,513,449,357,278,204,119,26,5101,0,0,0,0,0,0
2015-05-08,"May","Friday","Spring",6,58,69,106,165,208,261,260,194,251,261,299,306,236,157,136,102,109,14,3192,0,0,0,0,0,0
2015-05-09,"May","Saturday","Spring",6,0,0,0,11,206,158,108,164,144,124,190,147,170,141,176,121,54,16,1930,1,0,0,0,0,0
2015-05-10,"May","Sunday","Spring",6,0,0,0,0,145,112,113,124,154,170,174,171,252,245,216,166,112,23,2177,1,0,0,0,0,0
2015-05-11,"May","Monday","Spring",7,137,111,193,344,267,366,337,377,266,372,398,422,402,350,274,245,173,23,5057,0,0,0,0,0,0
2015-05-12,"May","Tuesday","Spring",7,94,68,191,331,255,416,380,396,328,416,406,457,396,383,374,274,162,22,5349,0,0,0,0,0,0
2015-05-13,"May","Wednesday","Spring",7,109,101,201,348,268,332,306,353,255,353,387,447,442,310,376,205,157,25,4975,0,0,0,0,0,0
2015-05-14,"May","Thursday","Spring",7,82,79,189,289,232,369,317,391,248,389,345,362,329,354,244,212,137,30,4598,0,0,0,0,0,0
2015-05-15,"May","Friday","Spring",7,76,57,88,164,164,223,236,224,240,248,348,262,238,156,121,114,57,24,3040,0,0,0,0,0,0
2015-05-16,"May","Saturday","Spring",7,0,0,0,0,150,117,131,163,196,216,211,206,192,119,128,130,85,11,2055,1,0,0,0,0,0
2015-05-17,"May","Sunday","Spring",7,0,0,0,0,119,98,110,129,132,182,220,284,229,181,194,133,92,21,2124,1,0,0,0,0,0
2015-05-18,"May","Monday","Spring",8,114,102,166,349,289,359,325,397,271,338,418,482,428,464,366,249,182,29,5328,0,0,0,0,0,0
2015-05-19,"May","Tuesday","Spring",8,100,84,196,313,281,362,376,437,323,393,402,474,352,352,283,287,155,21,5191,0,0,0,0,0,0
2015-05-20,"May","Wednesday","Spring",8,104,102,199,325,304,338,333,368,285,303,393,396,432,389,320,190,177,18,4976,0,0,0,0,0,0
2015-05-21,"May","Thursday","Spring",8,78,78,187,250,223,326,284,393,278,330,417,405,306,293,217,252,119,39,4475,0,0,0,0,0,0
2015-05-22,"May","Friday","Spring",8,35,57,101,118,163,199,203,163,205,257,241,261,237,187,125,114,85,26,2777,0,0,0,0,0,0
2015-05-23,"May","Saturday","Spring",8,0,0,0,0,108,102,122,137,151,191,169,138,130,101,68,94,55,23,1589,1,0,0,0,0,0
2015-05-24,"May","Sunday","Spring",8,0,0,0,0,112,91,95,109,139,149,158,167,160,104,124,124,89,11,1632,1,0,0,0,0,0
2015-05-25,"May","Monday","Spring",9,0,0,0,0,152,135,148,152,150,208,231,199,252,130,2,0,0,0,1759,0,0,0,0,0,0
2015-05-26,"May","Tuesday","Spring",9,100,54,173,239,229,354,315,413,286,357,320,361,315,326,373,268,164,28,4675,0,0,0,0,0,0
2015-05-27,"May","Wednesday","Spring",9,146,103,192,322,270,356,280,381,249,288,401,334,405,377,323,297,194,37,4957,0,0,0,0,0,0
2015-05-28,"May","Thursday","Spring",9,112,72,181,242,234,406,328,421,250,337,338,349,306,264,207,230,146,24,4447,0,0,0,0,0,0
2015-05-29,"May","Friday","Spring",9,48,57,97,183,220,275,269,190,239,271,278,218,256,166,192,120,99,15,3193,0,0,0,0,0,0
2015-05-30,"May","Saturday","Spring",9,0,0,8,1,149,151,173,141,175,176,219,142,147,125,121,93,90,10,1921,1,0,0,0,0,0
2015-05-31,"May","Sunday","Spring",9,0,0,7,0,128,131,132,140,153,178,206,183,212,193,165,143,124,26,2121,1,0,0,0,0,0
2015-06-01,"June","Monday","Spring",10,150,101,156,306,255,310,310,334,284,333,357,379,356,282,304,238,162,34,4651,0,0,0,0,0,1
2015-06-02,"June","Tuesday","Spring",10,92,58,191,292,258,342,315,376,265,332,370,385,357,323,275,224,179,19,4653,0,0,0,0,0,1
2015-06-03,"June","Wednesday","Spring",10,156,87,164,277,258,281,293,336,245,310,382,363,339,280,264,235,193,28,4491,0,0,0,0,0,1
2015-06-04,"June","Thursday","Spring",10,68,65,188,255,221,320,308,361,285,314,321,298,228,201,182,240,99,0,3954,0,0,0,0,0,1
2015-06-05,"June","Friday","Spring",10,48,53,114,157,184,261,216,193,186,230,251,253,192,151,161,91,40,0,2781,0,0,0,0,0,1
2015-06-06,"June","Saturday","Spring",10,0,0,0,0,185,130,111,97,99,129,174,141,139,97,123,120,68,14,1627,1,0,0,0,0,1
2015-06-07,"June","Sunday","Spring",10,0,0,0,0,155,131,103,86,110,157,192,141,136,94,177,123,79,19,1703,1,0,0,0,0,1
2015-06-08,"June","Monday","Spring",11,61,55,71,131,150,198,191,146,147,208,252,240,257,262,160,174,99,18,2820,0,0,0,0,1,0
2015-06-09,"June","Tuesday","Spring",11,46,51,64,96,152,187,174,145,136,205,248,208,189,113,151,276,110,28,2579,0,0,0,0,1,0
2015-06-10,"June","Wednesday","Spring",11,54,56,67,62,109,188,173,137,115,173,159,188,208,153,144,110,75,15,2186,0,0,0,0,1,0
2015-06-11,"June","Thursday","Spring",11,0,0,0,0,147,140,129,113,119,112,213,165,106,57,1,0,0,0,1302,0,0,0,0,1,0
2015-06-12,"June","Friday","Spring",11,0,0,0,0,143,142,120,122,89,127,160,111,135,44,0,0,0,0,1193,0,0,0,0,1,0
2015-06-13,"June","Saturday","Summer",1,0,0,0,2,57,61,73,66,82,87,117,120,93,21,0,0,0,0,779,1,0,0,0,0,0
2015-06-14,"June","Sunday","Summer",1,0,0,0,0,85,56,70,62,82,97,72,52,67,23,0,0,0,0,666,1,0,0,0,0,0
2015-06-15,"June","Monday","Summer",1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0
2015-06-16,"June","Tuesday","Summer",1,0,0,0,0,82,75,86,72,97,96,155,132,87,25,0,0,0,0,907,0,0,0,1,0,0
2015-06-17,"June","Wednesday","Summer",1,0,0,0,9,71,106,99,72,70,94,107,145,117,36,0,0,0,0,926,0,0,0,0,0,0
2015-06-18,"June","Thursday","Summer",1,0,0,0,4,74,84,97,83,80,70,104,155,117,28,0,0,0,0,896,0,0,0,0,0,0
2015-06-19,"June","Friday","Summer",1,0,0,0,2,68,86,87,82,68,86,106,100,114,29,0,0,0,0,828,0,0,0,0,0,0
2015-06-20,"June","Saturday","Summer",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015-06-21,"June","Sunday","Summer",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2015-06-22,"June","Monday","Summer",2,35,35,85,62,67,146,159,110,108,171,213,256,228,68,0,0,0,0,1743,0,0,0,1,0,0
2015-06-23,"June","Tuesday","Summer",2,35,44,74,85,56,165,133,76,143,206,247,253,196,50,0,0,0,0,1763,0,0,0,0,0,0
2015-06-24,"June","Wednesday","Summer",2,41,44,71,88,75,140,165,100,112,150,278,264,213,58,0,0,0,0,1799,0,0,0,0,0,0
2015-06-25,"June","Thursday","Summer",2,32,50,69,65,67,122,117,105,122,174,206,206,179,45,0,0,0,0,1559,0,0,0,0,0,0
2015-06-26,"June","Friday","Summer",2,29,29,87,78,91,111,131,103,86,117,138,148,103,22,0,0,0,0,1273,0,0,0,0,0,0
2015-06-27,"June","Saturday","Summer",3,0,0,0,0,0,4,93,69,87,72,61,83,81,26,0,0,0,0,576,1,0,0,0,0,0
2015-06-28,"June","Sunday","Summer",3,0,0,0,0,0,16,111,62,99,82,87,110,93,31,0,0,0,0,691,1,0,0,0,0,0
2015-06-29,"June","Monday","Summer",3,45,46,62,81,102,155,160,97,139,172,238,281,219,58,0,0,0,0,1855,0,0,0,0,0,0
2015-06-30,"June","Tuesday","Summer",3,45,37,70,75,81,163,143,80,119,166,213,250,243,84,0,0,0,0,1770,0,0,0,0,0,0
2015-07-01,"July","Wednesday","Summer",3,50,41,73,73,64,132,144,103,106,152,196,223,190,54,0,0,0,0,1601,0,0,0,0,0,0
2015-07-02,"July","Thursday","Summer",3,38,38,67,72,70,123,114,89,92,155,203,216,177,36,0,0,0,0,1490,0,0,0,0,0,0
2015-07-03,"July","Friday","Summer",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-07-04,"July","Saturday","Summer",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2015-07-05,"July","Sunday","Summer",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2015-07-06,"July","Monday","Summer",4,53,27,71,84,107,160,139,125,135,157,258,308,228,53,0,0,0,0,1905,0,0,0,1,0,0
2015-07-07,"July","Tuesday","Summer",4,38,46,82,86,80,163,137,105,109,178,224,276,202,64,0,0,0,0,1790,0,0,0,0,0,0
2015-07-08,"July","Wednesday","Summer",4,52,34,81,72,77,127,138,110,105,173,233,301,217,53,0,0,0,0,1773,0,0,0,0,0,0
2015-07-09,"July","Thursday","Summer",4,28,31,59,74,72,115,121,84,101,121,189,230,156,59,1,0,0,0,1441,0,0,0,0,0,0
2015-07-10,"July","Friday","Summer",4,44,27,49,86,83,116,128,96,87,123,155,166,161,43,1,0,0,0,1365,0,0,0,0,0,0
2015-07-11,"July","Saturday","Summer",5,0,0,0,0,0,0,123,68,76,76,115,97,77,15,0,0,0,0,647,1,0,0,0,0,0
2015-07-12,"July","Sunday","Summer",5,0,0,0,0,0,1,109,62,70,66,120,100,109,34,0,0,0,0,671,1,0,0,0,0,0
2015-07-13,"July","Monday","Summer",5,52,43,66,53,91,147,131,127,110,151,242,292,214,66,0,0,0,0,1785,0,0,0,0,0,0
2015-07-14,"July","Tuesday","Summer",5,34,39,90,67,74,152,134,99,113,165,220,266,193,47,1,0,0,0,1694,0,0,0,0,0,0
2015-07-15,"July","Wednesday","Summer",5,47,29,55,69,69,99,152,93,89,148,240,282,195,45,0,0,0,0,1612,0,0,0,0,0,0
2015-07-16,"July","Thursday","Summer",5,23,40,48,65,63,120,96,92,91,147,156,180,143,34,0,0,0,0,1298,0,0,0,0,0,0
