"","date","nonmembers","alumni","community_members","students","faculty_staff","pe_staff","other","total"
"1663",2019-07-25,8,42,0,452,0,14,331,847
"1664",2019-07-26,10,31,0,370,0,15,323,749
"1665",2019-07-27,2,19,0,194,0,4,110,329
"1666",2019-07-28,6,13,0,200,0,6,116,341
"1667",2019-07-29,13,44,0,566,0,20,391,1034
"1668",2019-07-30,16,33,0,510,0,19,382,960
"1669",2019-07-31,11,35,0,469,0,16,355,886
"1670",2019-08-01,12,37,0,444,0,16,356,865
"1671",2019-08-02,10,41,0,400,0,8,318,777
"1672",2019-08-03,3,13,0,206,0,9,120,351
"1673",2019-08-04,4,20,0,220,0,8,121,373
"1674",2019-08-05,9,43,0,484,0,19,412,967
"1675",2019-08-06,12,41,0,468,0,13,368,902
"1676",2019-08-07,11,42,0,464,0,14,346,877
"1677",2019-08-08,10,33,0,428,0,12,292,775
"1678",2019-08-09,11,42,0,340,0,8,295,696
"1679",2019-08-10,1,15,0,208,0,6,115,345
"1680",2019-08-11,5,20,0,200,0,3,147,375
"1681",2019-08-12,13,42,0,458,0,16,387,916
"1682",2019-08-13,10,34,0,396,0,11,341,792
"1683",2019-08-14,10,39,0,396,0,14,343,802
"1684",2019-08-15,16,34,0,328,0,9,321,708
"1685",2019-08-16,7,28,0,339,0,10,294,678
"1686",2019-08-17,0,16,0,151,0,5,115,287
"1687",2019-08-18,0,20,0,173,0,5,128,326
"1688",2019-08-19,14,35,0,340,0,18,318,725
"1689",2019-08-20,16,43,0,381,0,13,342,795
"1690",2019-08-21,9,40,0,314,0,19,305,687
"1691",2019-08-22,16,35,0,305,0,13,287,656
"1692",2019-08-23,7,43,0,302,0,9,274,635
"1693",2019-08-24,0,0,0,0,0,0,0,0
"1694",2019-08-25,0,0,0,0,0,0,0,0
"1695",2019-08-26,0,0,0,0,0,0,0,0
"1696",2019-08-27,0,0,0,0,0,0,0,0
"1697",2019-08-28,0,0,0,0,0,0,0,0
"1698",2019-08-29,0,0,0,0,0,0,0,0
"1699",2019-08-30,0,0,0,0,0,0,0,0
"1700",2019-08-31,0,0,0,0,0,0,0,0
"1701",2019-09-01,0,0,0,0,0,0,0,0
"1702",2019-09-02,0,0,0,0,0,0,0,0
"1703",2019-09-03,0,0,0,0,0,9,0,9
"1704",2019-09-04,0,0,0,0,0,0,0,0
"1705",2019-09-05,0,0,0,0,0,1,0,1
"1706",2019-09-06,0,0,0,0,0,4,0,4
"1707",2019-09-07,0,0,0,0,0,0,0,0
"1708",2019-09-08,0,0,0,0,0,0,0,0
"1709",2019-09-09,11,46,0,331,0,13,313,714
"1710",2019-09-10,13,28,0,332,0,7,283,663
"1711",2019-09-11,11,39,0,306,0,14,268,638
"1712",2019-09-12,10,25,0,287,0,18,245,585
"1713",2019-09-13,10,33,0,213,0,6,198,460
"1714",2019-09-14,0,0,0,0,0,0,0,0
"1715",2019-09-15,0,0,0,0,0,0,0,0
"1716",2019-09-16,14,40,0,628,0,10,279,971
"1717",2019-09-17,11,43,0,620,0,15,312,1001
"1718",2019-09-18,14,29,0,685,0,23,238,989
"1719",2019-09-19,10,34,0,669,0,23,240,976
"1720",2019-09-20,10,37,0,700,0,18,237,1002
"1721",2019-09-21,0,0,0,0,0,0,0,0
"1722",2019-09-22,0,0,0,0,0,0,0,0
"1723",2019-09-23,20,43,0,1542,0,25,331,1961
"1724",2019-09-24,14,31,0,1358,0,26,296,1725
"1725",2019-09-25,8,36,0,1371,0,10,250,1675
"1726",2019-09-26,5,26,0,1442,0,18,255,1746
"1727",2019-09-27,7,38,0,1358,0,6,199,1608
"1728",2019-09-28,6,18,0,1794,0,6,117,1941
"1729",2019-09-29,3,7,0,2269,0,3,90,2372
"1730",2019-09-30,15,42,0,4232,0,17,281,4587
"1731",2019-10-01,22,50,0,5348,0,15,288,5723
"1732",2019-10-02,21,45,0,4962,0,22,295,5345
"1733",2019-10-03,18,34,0,4257,0,14,279,4602
"1734",2019-10-04,13,51,0,3110,0,10,223,3407
"1735",2019-10-05,6,23,0,1253,0,2,58,1342
"1736",2019-10-06,9,29,0,1782,0,1,71,1892
"1737",2019-10-07,16,51,0,4883,0,21,300,5271
"1738",2019-10-08,27,45,0,4365,0,8,301,4746
"1739",2019-10-09,18,53,0,4336,0,14,278,4699
"1740",2019-10-10,13,46,0,3601,0,11,283,3954
"1741",2019-10-11,14,41,0,1866,0,4,219,2144
"1742",2019-10-12,1,25,0,1471,0,3,99,1599
"1743",2019-10-13,10,22,0,1632,0,1,98,1763
"1744",2019-10-14,8,62,0,3991,0,12,290,4363
"1745",2019-10-15,20,59,0,3767,0,12,270,4128
"1746",2019-10-16,19,45,0,3879,0,14,291,4248
"1747",2019-10-17,13,40,0,3430,0,14,277,3774
"1748",2019-10-18,13,43,0,2283,0,8,207,2554
"1749",2019-10-19,8,27,0,1439,0,3,85,1562
"1750",2019-10-20,5,25,0,1664,0,2,132,1828
"1751",2019-10-21,9,61,0,4103,0,25,325,4523
"1752",2019-10-22,23,42,0,3885,0,17,310,4277
"1753",2019-10-23,8,37,0,3842,0,23,286,4196
"1754",2019-10-24,16,39,0,3281,0,21,267,3624
"1755",2019-10-25,13,28,0,2284,0,14,208,2547
"1756",2019-10-26,3,22,0,1017,0,0,100,1142
"1757",2019-10-27,2,17,0,1397,0,1,89,1506
"1758",2019-10-28,17,51,0,3906,0,21,309,4304
"1759",2019-10-29,21,42,0,3743,0,18,296,4120
"1760",2019-10-30,15,48,0,3471,0,14,302,3850
"1761",2019-10-31,8,39,0,2824,0,21,247,3139
"1762",2019-11-01,13,28,0,1894,0,19,221,2175
"1763",2019-11-02,4,24,0,1322,0,4,85,1439
"1764",2019-11-03,8,23,0,1725,0,7,110,1873
"1765",2019-11-04,27,51,0,4106,0,27,347,4558
"1766",2019-11-05,24,50,0,3833,0,20,315,4242
"1767",2019-11-06,21,53,0,4023,0,30,332,4459
"1768",2019-11-07,16,44,0,3585,0,14,291,3950
"1769",2019-11-08,16,48,0,2349,0,14,258,2685
"1770",2019-11-09,5,30,0,1374,0,1,97,1507
"1771",2019-11-10,12,23,0,1647,0,1,120,1803
"1772",2019-11-11,18,54,0,4028,0,14,322,4436
"1773",2019-11-12,20,55,0,3916,0,14,311,4316
"1774",2019-11-13,12,62,0,3946,0,22,317,4359
"1775",2019-11-14,16,48,0,3421,0,19,295,3799
"1776",2019-11-15,24,37,0,2456,0,16,226,2759
"1777",2019-11-16,4,25,0,1165,0,5,98,1297
"1778",2019-11-17,10,19,0,1555,0,1,118,1703
"1779",2019-11-18,22,54,0,4193,0,15,313,4597
"1780",2019-11-19,26,50,0,3881,0,17,340,4314
"1781",2019-11-20,19,52,0,4019,0,21,286,4397
"1782",2019-11-21,13,33,0,3628,0,19,270,3963
"1783",2019-11-22,16,49,0,2235,0,5,240,2545
"1784",2019-11-23,4,23,0,1549,0,6,104,1686
"1785",2019-11-24,13,25,0,1802,0,1,127,1968
"1786",2019-11-25,14,55,0,3568,0,19,332,3988
"1787",2019-11-26,23,49,0,2743,0,12,274,3101
"1788",2019-11-27,14,45,0,1495,0,16,229,1799
"1789",2019-11-28,0,0,0,0,0,0,0,0
"1790",2019-11-29,0,0,0,0,0,0,0,0
"1791",2019-11-30,0,0,0,0,0,0,0,0
"1792",2019-12-01,14,28,0,1150,0,0,111,1303
"1793",2019-12-02,10,57,0,3666,0,19,339,4091
"1794",2019-12-03,22,46,0,3451,0,19,312,3850
"1795",2019-12-04,16,45,0,3551,0,28,272,3912
"1796",2019-12-05,7,32,0,3195,0,27,228,3489
"1797",2019-12-06,16,35,0,2040,0,14,221,2326
"1798",2019-12-07,4,24,0,1526,0,1,85,1640
"1799",2019-12-08,12,21,0,1459,0,2,103,1597
"1800",2019-12-09,22,45,0,2156,0,16,272,2511
"1801",2019-12-10,12,34,0,1802,0,15,255,2118
"1802",2019-12-11,18,35,0,1552,0,16,244,1865
"1803",2019-12-12,13,27,0,970,0,11,219,1240
"1804",2019-12-13,21,40,0,764,0,8,213,1046
"1805",2019-12-14,0,0,0,0,0,0,0,0
"1806",2019-12-15,0,0,0,0,0,0,0,0
"1807",2019-12-16,15,10,0,387,0,11,165,588
"1808",2019-12-17,13,22,0,340,0,2,180,557
"1809",2019-12-18,23,26,0,319,0,13,168,549
"1810",2019-12-19,13,20,0,293,0,9,160,495
"1811",2019-12-20,24,25,0,219,0,11,145,424
"1812",2019-12-21,0,0,0,0,0,0,0,0
"1813",2019-12-22,0,0,0,0,0,0,0,0
"1814",2019-12-23,0,0,0,0,0,0,0,0
"1815",2019-12-24,0,0,0,0,0,0,0,0
"1816",2019-12-25,0,0,0,0,0,0,0,0
"1817",2019-12-26,16,14,0,162,0,3,94,289
"1818",2019-12-27,8,24,0,188,0,8,111,339
"1819",2019-12-28,0,0,0,0,0,0,0,0
"1820",2019-12-29,0,0,0,0,0,0,0,0
"1821",2019-12-30,0,0,0,0,0,0,0,0
"1822",2019-12-31,0,0,0,0,0,0,0,0
"1823",2020-01-01,0,0,0,0,0,0,0,0
"1824",2020-01-02,13,27,0,332,0,5,191,568
"1825",2020-01-03,20,28,0,441,0,4,176,669
"1826",2020-01-04,0,0,0,0,0,0,0,0
"1827",2020-01-05,2,10,0,825,0,2,42,881
"1828",2020-01-06,22,63,0,5017,0,19,334,5455
"1829",2020-01-07,18,48,0,4889,0,11,332,5298
"1830",2020-01-08,12,53,0,4931,0,20,344,5360
"1831",2020-01-09,25,33,0,4000,0,21,306,4385
"1832",2020-01-10,24,47,0,2865,0,10,270,3216
"1833",2020-01-11,12,21,0,1828,0,2,123,1986
"1834",2020-01-12,11,24,0,1923,0,1,132,2091
"1835",2020-01-13,22,47,0,4930,0,21,402,5422
"1836",2020-01-14,21,45,0,4884,0,13,379,5342
"1837",2020-01-15,13,49,0,4435,0,23,332,4852
"1838",2020-01-16,22,34,0,4085,0,11,333,4485
"1839",2020-01-17,19,36,0,2466,0,14,294,2829
"1840",2020-01-18,6,19,0,1583,0,8,137,1753
"1841",2020-01-19,8,24,0,1378,0,0,103,1513
"1842",2020-01-20,12,52,0,1886,0,2,163,2115
"1843",2020-01-21,20,50,0,4803,0,15,361,5249
"1844",2020-01-22,22,45,0,4847,0,15,366,5295
"1845",2020-01-23,15,32,0,4116,0,19,335,4517
"1846",2020-01-24,24,37,0,2771,0,13,291,3136
"1847",2020-01-25,5,22,0,1729,0,1,120,1877
"1848",2020-01-26,10,25,0,2325,0,3,140,2503
"1849",2020-01-27,23,50,0,4638,0,20,371,5102
"1850",2020-01-28,20,42,0,4556,0,13,371,5002
"1851",2020-01-29,15,46,0,4476,0,20,344,4901
"1852",2020-01-30,16,39,0,4032,0,18,306,4411
"1853",2020-01-31,15,36,0,2490,0,11,262,2814
"1854",2020-02-01,9,24,0,2259,0,3,150,2445
"1855",2020-02-02,9,22,0,1493,0,0,99,1623
"1856",2020-02-03,13,41,0,4487,0,14,333,4888
"1857",2020-02-04,20,43,0,4504,0,16,334,4917
"1858",2020-02-05,20,55,0,4454,0,9,323,4861
"1859",2020-02-06,23,42,0,4082,0,14,327,4488
"1860",2020-02-07,9,43,0,2404,0,7,280,2743
"1861",2020-02-08,6,17,0,1702,0,5,118,1848
"1862",2020-02-09,7,24,0,2062,0,2,132,2227
"1863",2020-02-10,24,51,0,4465,0,12,334,4886
"1864",2020-02-11,22,55,0,4373,0,17,353,4820
"1865",2020-02-12,12,49,0,4433,0,15,329,4838
"1866",2020-02-13,15,37,0,3646,0,15,308,4021
"1867",2020-02-14,17,36,0,2142,0,8,226,2429
"1868",2020-02-15,5,25,0,1489,0,1,125,1645
"1869",2020-02-16,11,19,0,1933,0,2,109,2074
"1870",2020-02-17,11,43,0,4266,0,16,311,4647
"1871",2020-02-18,23,47,0,4365,0,14,364,4813
"1872",2020-02-19,11,40,0,4169,0,17,321,4558
"1873",2020-02-20,23,39,0,3666,0,37,310,4075
"1874",2020-02-21,14,48,0,2142,0,9,278,2491
"1875",2020-02-22,3,23,0,1367,0,3,118,1514
"1876",2020-02-23,7,37,0,2060,0,1,123,2228
"1877",2020-02-24,9,57,0,4185,0,18,369,4638
"1878",2020-02-25,20,44,0,3861,0,11,345,4281
"1879",2020-02-26,17,53,0,4314,0,15,346,4745
"1880",2020-02-27,19,42,0,3562,0,19,305,3947
"1881",2020-02-28,12,39,0,2121,0,6,237,2415
"1882",2020-02-29,8,24,0,1533,0,5,138,1708
"1883",2020-03-01,6,34,0,1915,0,1,111,2067
"1884",2020-03-02,13,48,0,4185,0,23,332,4601
"1885",2020-03-03,12,53,0,4151,0,17,319,4552
"1886",2020-03-04,10,54,0,4033,0,16,286,4399
"1887",2020-03-05,13,39,0,3613,0,15,272,3952
"1888",2020-03-06,15,47,0,2343,0,11,235,2651
"1889",2020-03-07,6,28,0,1812,0,3,98,1947
"1890",2020-03-08,5,25,0,1652,0,0,119,1801
"1891",2020-03-09,11,39,0,3870,0,17,288,4225
"1892",2020-03-10,13,43,0,3565,0,15,295,3931
"1893",2020-03-11,9,48,0,3389,0,20,243,3709
"1894",2020-03-12,15,31,0,2440,0,10,225,2721
"1895",2020-03-13,5,28,0,1468,0,11,173,1685
"1896",2020-03-14,4,15,0,921,0,3,83,1026
"1897",2020-03-15,5,15,0,783,0,2,71,876
"1898",2020-03-16,8,34,0,820,0,9,144,1015
"1899",2020-03-17,6,28,0,623,0,4,129,790
"1900",2020-03-18,0,0,0,0,0,0,0,0
"1901",2020-03-19,0,0,0,0,0,0,0,0
"1902",2020-03-20,0,0,0,0,0,0,0,0
"1903",2020-03-21,0,0,0,0,0,0,0,0
"1904",2020-03-22,0,0,0,0,0,0,0,0
"1905",2020-03-23,0,0,0,0,0,0,0,0
"1906",2020-03-24,0,0,0,0,0,0,0,0
"1907",2020-03-25,0,0,0,0,0,0,0,0
"1908",2020-03-26,0,0,0,0,0,0,0,0
"1909",2020-03-27,0,0,0,0,0,0,0,0
"1910",2020-03-28,0,0,0,0,0,0,0,0
"1911",2020-03-29,0,0,0,0,0,0,0,0
"1912",2020-03-30,0,0,0,0,0,0,0,0
"1913",2020-03-31,0,0,0,0,0,0,0,0
"1914",2020-04-01,0,0,0,0,0,0,0,0
"1915",2020-04-02,0,0,0,0,0,0,0,0
"1916",2020-04-03,0,0,0,0,0,0,0,0
"1917",2020-04-04,0,0,0,0,0,0,0,0
"1918",2020-04-05,0,0,0,0,0,0,0,0
"1919",2020-04-06,0,0,0,0,0,0,0,0
"1920",2020-04-07,0,0,0,0,0,0,0,0
"1921",2020-04-08,0,0,0,0,0,0,0,0
"1922",2020-04-09,0,0,0,0,0,0,0,0
"1923",2020-04-10,0,0,0,0,0,0,0,0
"1924",2020-04-11,0,0,0,0,0,0,0,0
"1925",2020-04-12,0,0,0,0,0,0,0,0
"1926",2020-04-13,0,0,0,0,0,0,0,0
"1927",2020-04-14,0,0,0,0,0,0,0,0
"1928",2020-04-15,0,0,0,0,0,0,0,0
"1929",2020-04-16,0,0,0,0,0,0,0,0
"1930",2020-04-17,0,0,0,0,0,0,0,0
"1931",2020-04-18,0,0,0,0,0,0,0,0
"1932",2020-04-19,0,0,0,0,0,0,0,0
"1933",2020-04-20,0,0,0,0,0,0,0,0
"1934",2020-04-21,0,0,0,0,0,0,0,0
"1935",2020-04-22,0,0,0,0,0,0,0,0
"1936",2020-04-23,0,0,0,0,0,0,0,0
"1937",2020-04-24,0,0,0,0,0,0,0,0
"1938",2020-04-25,0,0,0,0,0,0,0,0
"1939",2020-04-26,0,0,0,0,0,0,0,0
"1940",2020-04-27,0,0,0,0,0,0,0,0
"1941",2020-04-28,0,0,0,0,0,0,0,0
"1942",2020-04-29,0,0,0,0,0,0,0,0
"1943",2020-04-30,0,0,0,0,0,0,0,0
"1944",2020-05-01,0,0,0,0,0,0,0,0
"1945",2020-05-02,0,0,0,0,0,0,0,0
"1946",2020-05-03,0,0,0,0,0,0,0,0
"1947",2020-05-04,0,0,0,0,0,0,0,0
"1948",2020-05-05,0,0,0,0,0,0,0,0
"1949",2020-05-06,0,0,0,0,0,0,0,0
"1950",2020-05-07,0,0,0,0,0,0,0,0
"1951",2020-05-08,0,0,0,0,0,0,0,0
"1952",2020-05-09,0,0,0,0,0,0,0,0
"1953",2020-05-10,0,0,0,0,0,0,0,0
"1954",2020-05-11,0,0,0,0,0,0,0,0
"1955",2020-05-12,0,0,0,0,0,0,0,0
"1956",2020-05-13,0,0,0,0,0,0,0,0
"1957",2020-05-14,0,0,0,0,0,0,0,0
"1958",2020-05-15,0,0,0,0,0,0,0,0
"1959",2020-05-16,0,0,0,0,0,0,0,0
"1960",2020-05-17,0,0,0,0,0,0,0,0
"1961",2020-05-18,0,0,0,0,0,0,0,0
"1962",2020-05-19,0,0,0,0,0,0,0,0
"1963",2020-05-20,0,0,0,0,0,0,0,0
"1964",2020-05-21,0,0,0,0,0,0,0,0
"1965",2020-05-22,0,0,0,0,0,0,0,0
"1966",2020-05-23,0,0,0,0,0,0,0,0
"1967",2020-05-24,0,0,0,0,0,0,0,0
"1968",2020-05-25,0,0,0,0,0,0,0,0
"1969",2020-05-26,0,0,0,0,0,0,0,0
"1970",2020-05-27,0,0,0,0,0,0,0,0
"1971",2020-05-28,0,0,0,0,0,0,0,0
"1972",2020-05-29,0,0,0,0,0,0,0,0
"1973",2020-05-30,0,0,0,0,0,0,0,0
"1974",2020-05-31,0,0,0,0,0,0,0,0
"1975",2020-06-01,0,0,0,0,0,0,0,0
"1976",2020-06-02,0,0,0,0,0,0,0,0
"1977",2020-06-03,0,0,0,0,0,0,0,0
"1978",2020-06-04,0,0,0,0,0,0,0,0
"1979",2020-06-05,0,0,0,0,0,0,0,0
"1980",2020-06-06,0,0,0,0,0,0,0,0
"1981",2020-06-07,0,0,0,0,0,0,0,0
"1982",2020-06-08,0,0,0,0,0,0,0,0
"1983",2020-06-09,0,0,0,0,0,0,0,0
"1984",2020-06-10,0,0,0,0,0,0,0,0
"1985",2020-06-11,0,0,0,0,0,0,0,0
"1986",2020-06-12,0,0,0,0,0,0,0,0
"1987",2020-06-13,0,0,0,0,0,0,0,0
"1988",2020-06-14,0,0,0,0,0,0,0,0
"1989",2020-06-15,0,0,0,0,0,0,0,0
"1990",2020-06-16,0,0,0,0,0,0,0,0
"1991",2020-06-17,0,0,0,0,0,0,0,0
"1992",2020-06-18,0,0,0,0,0,0,0,0
"1993",2020-06-19,0,0,0,0,0,0,0,0
"1994",2020-06-20,0,0,0,0,0,0,0,0
"1995",2020-06-21,0,0,0,0,0,0,0,0
"1996",2020-06-22,0,0,0,0,0,0,0,0
"1997",2020-06-23,0,0,0,0,0,0,0,0
"1998",2020-06-24,0,0,0,0,0,0,0,0
"1999",2020-06-25,0,0,0,0,0,0,0,0
"2000",2020-06-26,0,0,0,0,0,0,0,0
"2001",2020-06-27,0,0,0,0,0,0,0,0
"2002",2020-06-28,0,0,0,0,0,0,0,0
"2003",2020-06-29,0,0,0,0,0,0,0,0
"2004",2020-06-30,0,0,0,0,0,0,0,0
"2005",2020-07-01,0,0,0,0,0,0,0,0
"2006",2020-07-02,0,0,0,0,0,0,0,0
"2007",2020-07-03,0,0,0,0,0,0,0,0
"2008",2020-07-04,0,0,0,0,0,0,0,0
"2009",2020-07-05,0,0,0,0,0,0,0,0
"2010",2020-07-06,0,0,0,0,0,0,0,0
"2011",2020-07-07,0,0,0,0,0,0,0,0
"2012",2020-07-08,0,0,0,0,0,0,0,0
"2013",2020-07-09,0,0,0,0,0,0,0,0
"2014",2020-07-10,0,0,0,0,0,0,0,0
"2015",2020-07-11,0,0,0,0,0,0,0,0
"2016",2020-07-12,0,0,0,0,0,0,0,0
"2017",2020-07-13,0,0,0,0,0,0,0,0
"2018",2020-07-14,0,0,0,0,0,0,0,0
"2019",2020-07-15,0,0,0,0,0,0,0,0
"2020",2020-07-16,0,0,0,0,0,0,0,0
"2021",2020-07-17,0,0,0,0,0,0,0,0
"2022",2020-07-18,0,0,0,0,0,0,0,0
"2023",2020-07-19,0,0,0,0,0,0,0,0
"2024",2020-07-20,0,0,0,0,0,0,0,0
"2025",2020-07-21,0,0,0,0,0,0,0,0
"2026",2020-07-22,0,0,0,0,0,0,0,0
"2027",2020-07-23,0,0,0,0,0,0,0,0
"2028",2020-07-24,0,0,0,0,0,0,0,0
"2029",2020-07-25,0,0,0,0,0,0,0,0
"2030",2020-07-26,0,0,0,0,0,0,0,0
"2031",2020-07-27,0,0,0,0,0,0,0,0
"2032",2020-07-28,0,0,0,0,0,0,0,0
"2033",2020-07-29,0,0,0,0,0,0,0,0
"2034",2020-07-30,0,0,0,0,0,0,0,0
"2035",2020-07-31,0,0,0,0,0,0,0,0
"2036",2020-08-01,0,0,0,0,0,0,0,0
"2037",2020-08-02,0,0,0,0,0,0,0,0
"2038",2020-08-03,0,0,0,0,0,0,0,0
"2039",2020-08-04,0,0,0,0,0,0,0,0
"2040",2020-08-05,0,0,0,0,0,0,0,0
"2041",2020-08-06,0,0,0,0,0,0,0,0
"2042",2020-08-07,0,0,0,0,0,0,0,0
"2043",2020-08-08,0,0,0,0,0,0,0,0
"2044",2020-08-09,0,0,0,0,0,0,0,0
"2045",2020-08-10,0,0,0,0,0,0,0,0
"2046",2020-08-11,0,0,0,0,0,0,0,0
"2047",2020-08-12,0,0,0,0,0,0,0,0
"2048",2020-08-13,0,0,0,0,0,0,0,0
"2049",2020-08-14,0,0,0,0,0,0,0,0
"2050",2020-08-15,0,0,0,0,0,0,0,0
"2051",2020-08-16,0,0,0,0,0,0,0,0
"2052",2020-08-17,0,0,0,0,0,0,0,0
"2053",2020-08-18,0,0,0,0,0,0,0,0
"2054",2020-08-19,0,0,0,0,0,0,0,0
"2055",2020-08-20,0,0,0,0,0,0,0,0
"2056",2020-08-21,0,0,0,0,0,0,0,0
"2057",2020-08-22,0,0,0,0,0,0,0,0
"2058",2020-08-23,0,0,0,0,0,0,0,0
"2059",2020-08-24,0,0,0,0,0,0,0,0
"2060",2020-08-25,0,0,0,0,0,0,0,0
"2061",2020-08-26,0,0,0,0,0,0,0,0
"2062",2020-08-27,0,0,0,0,0,0,0,0
"2063",2020-08-28,0,0,0,0,0,0,0,0
"2064",2020-08-29,0,0,0,0,0,0,0,0
"2065",2020-08-30,0,0,0,0,0,0,0,0
"2066",2020-08-31,0,0,0,0,0,0,0,0
"2067",2020-09-01,0,0,0,0,0,2,0,2
"2068",2020-09-02,0,0,0,0,0,0,0,0
"2069",2020-09-03,0,0,0,0,0,0,0,0
"2070",2020-09-04,0,0,0,1,0,0,0,1
"2071",2020-09-05,0,0,0,0,0,0,0,0
"2072",2020-09-06,0,0,0,0,0,0,0,0
"2073",2020-09-07,0,0,0,0,0,0,0,0
"2074",2020-09-08,0,0,0,0,0,0,0,0
"2075",2020-09-09,0,0,0,3,0,0,0,3
"2076",2020-09-10,0,0,0,0,0,13,0,13
"2077",2020-09-11,0,0,0,4,0,4,0,8
"2078",2020-09-12,0,0,0,0,0,0,0,0
"2079",2020-09-13,0,0,0,0,0,0,0,0
"2080",2020-09-14,0,0,0,0,0,0,0,0
"2081",2020-09-15,0,0,0,5,0,0,0,5
"2082",2020-09-16,0,0,0,11,0,0,0,11
"2083",2020-09-17,0,0,0,7,0,30,0,37
"2084",2020-09-18,0,0,0,1,0,1,0,2
"2085",2020-09-19,0,0,0,0,0,0,0,0
"2086",2020-09-20,0,0,0,0,0,0,0,0
"2087",2020-09-21,13,0,0,720,0,10,0,743
"2088",2020-09-22,17,0,0,819,0,7,0,843
"2089",2020-09-23,27,0,0,897,0,3,4,931
"2090",2020-09-24,23,0,0,1033,0,5,0,1061
"2091",2020-09-25,24,1,0,1031,0,8,2,1066
"2092",2020-09-26,11,0,0,1021,0,1,0,1033
"2093",2020-09-27,9,0,0,888,0,3,2,902
"2094",2020-09-28,27,1,0,1784,0,4,1,1817
"2095",2020-09-29,33,1,0,1866,0,5,1,1906
"2096",2020-09-30,31,1,0,1778,0,3,2,1815
"2097",2020-10-01,30,0,0,1598,0,2,1,1631
"2098",2020-10-02,34,1,0,1372,0,3,1,1411
"2099",2020-10-03,10,0,0,886,0,3,1,900
"2100",2020-10-04,15,0,0,765,0,1,0,781
"2101",2020-10-05,37,0,0,1764,0,1,2,1804
"2102",2020-10-06,31,1,0,1730,0,2,1,1765
"2103",2020-10-07,30,0,0,1482,0,4,2,1518
"2104",2020-10-08,34,0,0,1537,0,3,2,1576
"2105",2020-10-09,37,0,0,1202,0,1,3,1243
"2106",2020-10-10,19,0,0,710,0,0,0,729
"2107",2020-10-11,19,1,0,662,0,2,0,684
"2108",2020-10-12,44,0,0,1590,0,1,2,1637
"2109",2020-10-13,45,1,0,1551,0,4,2,1603
"2110",2020-10-14,34,0,0,1377,0,4,3,1418
"2111",2020-10-15,29,0,0,1410,0,3,2,1444
"2112",2020-10-16,35,0,0,1222,0,2,5,1264
"2113",2020-10-17,9,0,0,689,0,0,0,698
"2114",2020-10-18,19,0,0,680,0,1,0,700
"2115",2020-10-19,39,0,0,1658,0,4,3,1704
"2116",2020-10-20,41,0,0,1708,0,2,2,1753
"2117",2020-10-21,26,0,0,1476,0,3,2,1507
"2118",2020-10-22,34,0,0,1399,0,3,2,1438
"2119",2020-10-23,29,0,0,1153,0,1,2,1185
"2120",2020-10-24,14,0,0,739,0,0,0,753
"2121",2020-10-25,13,0,0,660,0,1,0,674
"2122",2020-10-26,26,0,0,1578,0,2,3,1609
"2123",2020-10-27,35,0,0,1650,0,1,2,1688
"2124",2020-10-28,34,0,0,1515,0,2,3,1554
"2125",2020-10-29,27,0,0,1380,0,2,2,1411
"2126",2020-10-30,28,0,0,1107,0,0,3,1138
"2127",2020-10-31,16,0,0,646,0,1,0,663
"2128",2020-11-01,11,0,0,492,0,1,0,504
"2129",2020-11-02,35,0,0,1640,0,0,2,1677
"2130",2020-11-03,30,0,0,1746,0,0,2,1778
"2131",2020-11-04,26,0,0,1512,0,2,1,1541
"2132",2020-11-05,34,0,0,1564,0,1,3,1602
"2133",2020-11-06,37,0,0,1345,0,3,1,1386
"2134",2020-11-07,13,0,0,669,0,0,0,682
"2135",2020-11-08,14,0,0,697,0,0,0,711
"2136",2020-11-09,33,0,0,1712,0,0,2,1747
"2137",2020-11-10,37,0,0,1783,0,0,1,1821
"2138",2020-11-11,27,0,0,1509,0,2,3,1541
"2139",2020-11-12,33,0,0,1574,0,3,1,1611
"2140",2020-11-13,29,0,0,1272,0,1,3,1305
"2141",2020-11-14,12,0,0,697,0,1,0,710
"2142",2020-11-15,17,0,0,736,0,2,0,755
"2143",2020-11-16,29,0,0,1513,0,0,3,1545
"2144",2020-11-17,25,0,0,1542,0,2,3,1572
"2145",2020-11-18,0,0,0,0,0,0,0,0
"2146",2020-11-19,0,0,0,0,0,0,0,0
"2147",2020-11-20,0,0,0,0,0,0,0,0
"2148",2020-11-21,0,0,0,0,0,0,0,0
"2149",2020-11-22,0,0,0,0,0,0,0,0
"2150",2020-11-23,0,0,0,1,0,0,0,1
"2151",2020-11-24,0,0,0,1,0,0,0,1
"2152",2020-11-25,0,0,0,0,0,0,0,0
"2153",2020-11-26,0,0,0,0,0,0,0,0
"2154",2020-11-27,0,0,0,0,0,0,0,0
"2155",2020-11-28,0,0,0,0,0,0,0,0
"2156",2020-11-29,0,0,0,0,0,0,0,0
"2157",2020-11-30,0,0,0,0,0,0,0,0
"2158",2020-12-01,0,0,0,0,0,0,0,0
"2159",2020-12-02,0,0,0,0,0,0,0,0
"2160",2020-12-03,0,0,0,0,0,0,0,0
"2161",2020-12-04,0,0,0,0,0,0,0,0
"2162",2020-12-05,0,0,0,0,0,0,0,0
"2163",2020-12-06,0,0,0,0,0,0,0,0
"2164",2020-12-07,0,0,0,1,0,0,0,1
"2165",2020-12-08,0,0,0,0,0,0,0,0
